,Pattern,Result,ResultNum,Percentage
0,"[True, False]",[True],3654,3.8314176245210727
1,"[True, False, False]",[True],1693,3.780271707028943
2,"[True, False, False, True]",[False],878,3.758542141230068
3,"[True, False, False, True, False]",[True],452,4.424778761061947
4,"[True, False, False, True, False, True]",[True],277,3.9711191335740073
5,"[True, False, False, True, False, True, True]",[True],150,4.0
6,"[True, False, False, True, False, True, True, True]",[True],84,4.761904761904762
7,"[True, False, False, True, False, True, True, True, True]",[False],56,5.357142857142857
8,"[True, False, False, True, False, True, True, True, True, False]",[False],42,4.761904761904762
9,"[True, False, False, True, False, True, True, True, True, False, False]",[False],28,7.142857142857142
10,"[True, False, False, True, False, True, True, True, True, False, False, False]",[True],28,7.142857142857142
11,"[True, False, False, True, False, True, True, True, True, False, False, False, True]",[False],28,7.142857142857142
12,"[True, False, False, True, False, True, True, True, True, False, False, False, True, False]",[False],28,7.142857142857142
13,"[False, False]",[True],2883,4.231703087062088
14,"[False, False, True]",[True],1690,3.6686390532544375
15,"[False, False, True, False]",[True],830,4.216867469879518
16,"[False, False, True, False, True]",[True],487,3.696098562628337
17,"[False, False, True, False, True, True]",[True],248,3.6290322580645165
18,"[False, False, True, False, True, True, True]",[True],126,4.761904761904762
19,"[False, False, True, False, True, True, True, True]",[False],84,5.952380952380952
20,"[False, False, True, False, True, True, True, True, False]",[False],70,4.285714285714286
21,"[False, False, True, False, True, True, True, True, False, False]",[False],42,7.142857142857142
22,"[False, False, True, False, True, True, True, True, False, False, False]",[True],42,7.142857142857142
23,"[False, False, True, False, True, True, True, True, False, False, False, True]",[False],42,7.142857142857142
24,"[False, False, True, False, True, True, True, True, False, False, False, True, False]",[False],42,7.142857142857142
25,"[False, False, True, False, True, True, True, True, False, False, False, True, False, False]",[True],42,7.142857142857142
26,"[False, True]",[True],3647,3.7565122018097066
27,"[False, True, False]",[True],1740,3.9080459770114944
28,"[False, True, False, True]",[True],949,3.7934668071654376
29,"[False, True, False, True, True]",[True],500,3.8
